TIME,E,I,R,S,t
2020-03-02,0,0,0,4000000,0.0
2020-03-03,0,0,0,4000000,1.0
2020-03-04,1,1,0,3999998,2.0
2020-03-05,0,1,0,3999999,3.0
2020-03-06,1,2,0,3999997,4.0
2020-03-07,0,2,0,3999998,5.0
2020-03-08,0,2,0,3999998,6.0
2020-03-09,0,2,0,3999998,7.0
2020-03-10,0,2,0,3999998,8.0
2020-03-11,0,2,0,3999998,9.0
2020-03-12,3,5,0,3999992,10.0
2020-03-13,1,6,0,3999993,11.0
2020-03-14,0,6,0,3999994,12.0
2020-03-15,3,7,2,3999988,13.0
2020-03-16,0,7,0,3999993,14.0
2020-03-17,0,7,0,3999993,15.0
2020-03-18,1,8,0,3999991,16.0
2020-03-19,4,12,0,3999984,17.0
2020-03-20,2,14,0,3999984,18.0
2020-03-21,0,14,0,3999986,19.0
2020-03-22,0,14,0,3999986,20.0
2020-03-23,5,19,0,3999976,21.0
2020-03-24,0,19,0,3999981,22.0
2020-03-25,5,21,3,3999971,23.0
2020-03-26,0,21,0,3999979,24.0
2020-03-27,11,32,0,3999957,25.0
2020-03-28,5,36,0,3999959,26.0
2020-03-29,8,44,0,3999948,27.0
2020-03-30,48,89,2,3999861,28.0
2020-03-31,27,116,0,3999857,29.0
2020-04-01,22,138,0,3999840,30.0
2020-04-02,9,147,0,3999844,31.0
2020-04-03,15,162,0,3999823,32.0
2020-04-04,20,182,0,3999798,33.0
2020-04-05,35,192,25,3999748,34.0
2020-04-06,69,261,0,3999670,35.0
2020-04-07,34,295,0,3999671,36.0
2020-04-08,44,326,11,3999619,37.0
2020-04-09,35,361,0,3999604,38.0
2020-04-10,80,410,31,3999479,39.0
2020-04-11,69,479,0,3999452,40.0
2020-04-12,121,596,4,3999279,41.0
2020-04-13,121,717,0,3999162,42.0
2020-04-14,130,829,17,3999024,43.0
2020-04-15,154,966,15,3998865,44.0
2020-04-16,424,1369,21,3998186,45.0
2020-04-17,139,1406,101,3998354,46.0
2020-04-18,114,1513,7,3998366,47.0
2020-04-19,86,1597,2,3998315,48.0
2020-04-20,127,1682,39,3998152,49.0
2020-04-21,294,1926,47,3997733,50.0
2020-04-22,191,2073,41,3997695,51.0
2020-04-23,253,2280,43,3997424,52.0
2020-04-24,215,2443,49,3997293,53.0
2020-04-25,151,2561,29,3997259,54.0
2020-04-26,161,2722,0,3997117,55.0
2020-04-27,198,2865,55,3996882,56.0
2020-04-28,290,2989,164,3996557,57.0
2020-04-29,336,3254,71,3996339,58.0
2020-04-30,349,3599,0,3996052,59.0
2020-05-01,323,3824,98,3995755,60.0
2020-05-02,295,3934,184,3995587,61.0
2020-05-03,317,4112,136,3995435,62.0
2020-05-04,226,4067,271,3995436,63.0
2020-05-05,312,4312,64,3995312,64.0
2020-05-06,306,4594,20,3995080,65.0
2020-05-07,375,4920,45,3994660,66.0
2020-05-08,425,5275,65,3994235,67.0
2020-05-09,414,5677,12,3993897,68.0
2020-05-10,307,5974,7,3993712,69.0
2020-05-11,339,6208,103,3993350,70.0
2020-05-12,435,6574,64,3992927,71.0
2020-05-13,460,6977,51,3992512,72.0
2020-05-14,541,7407,106,3991946,73.0
2020-05-15,525,7822,104,3991549,74.0
2020-05-16,451,8202,66,3991281,75.0
2020-05-17,425,8588,34,3990953,76.0
2020-05-18,453,8973,63,3990511,77.0
2020-05-19,455,9216,208,3990121,78.0
2020-05-20,408,9438,181,3989973,79.0
2020-05-21,389,9626,198,3989787,80.0
2020-05-22,363,9718,265,3989654,81.0
2020-05-23,384,9754,328,3989534,82.0
2020-05-24,374,9985,138,3989503,83.0
2020-05-25,363,10182,154,3989301,84.0
2020-05-26,387,9847,714,3989052,85.0
2020-05-27,383,9896,325,3989396,86.0
2020-05-28,369,9924,330,3989377,87.0
2020-05-29,365,10016,260,3989359,88.0
2020-05-30,369,10065,307,3989259,89.0
2020-05-31,364,10352,68,3989216,90.0
2020-06-01,376,10458,260,3988906,91.0
2020-06-02,380,10498,323,3988799,92.0
2020-06-03,375,10485,364,3988776,93.0
2020-06-04,378,10455,381,3988786,94.0
2020-06-05,347,10361,386,3988906,95.0
2020-06-06,340,10373,297,3988990,96.0
2020-06-07,326,10528,156,3988990,97.0
2020-06-08,318,10619,186,3988877,98.0
2020-06-09,313,10463,420,3988804,99.0
2020-06-10,303,10385,343,3988969,100.0
2020-06-11,274,10206,412,3989108,101.0
2020-06-12,262,10175,285,3989278,102.0
2020-06-13,256,10287,116,3989341,103.0
2020-06-14,252,10439,62,3989247,104.0
2020-06-15,234,10387,232,3989147,105.0
2020-06-16,228,9861,716,3989195,106.0
2020-06-17,231,9426,637,3989706,107.0
2020-06-18,228,8770,847,3990155,108.0
2020-06-19,232,8187,794,3990787,109.0
2020-06-20,229,7892,498,3991381,110.0
2020-06-21,217,7896,184,3991703,111.0
2020-06-22,220,7860,221,3991699,112.0
2020-06-23,218,7397,643,3991742,113.0
2020-06-24,221,7010,589,3992180,114.0
2020-06-25,223,6791,395,3992591,115.0
2020-06-26,224,6242,716,3992818,116.0
2020-06-27,217,5840,598,3993345,117.0
2020-06-28,219,5793,247,3993741,118.0
2020-06-29,253,5761,254,3993732,119.0
2020-06-30,262,5132,845,3993761,120.0
