,E,I,R,t
0,1.1426511,0.2382868,1.6060898,0.0
1,-0.2242294,0.068516195,2.8725915,1.0
2,0.94519204,-0.47259808,1.6749642,2.0
3,0.75835806,-0.19571209,1.8464307,3.0
4,0.715906,-0.3015616,2.0264544,4.0
5,0.3727429,-0.3373195,2.4606895,5.0
6,-0.030446377,-0.11470318,2.9379256,6.0
7,0.9393555,-0.07388234,2.0708623,7.0
8,-0.03568637,-0.11723471,2.565907,8.0
9,-0.47407228,0.08734441,2.758287,9.0
10,-0.5175723,-0.021036625,2.5743885,10.0
11,-0.3346401,0.16487247,2.2229235,11.0
12,-0.17902035,0.3154984,1.8917853,12.0
13,-0.16692805,0.28084815,1.6678016,13.0
14,-0.15481964,0.24667251,1.4437802,14.0
15,-0.14271122,0.21218044,1.2197965,15.0
16,-0.13063505,0.1780048,0.99578774,16.0
17,-0.11852664,0.14351273,0.7717978,17.0
18,-0.1064021,0.10870421,0.547789,18.0
19,-0.09434205,0.074212134,0.3237801,19.0
20,-0.32349905,-0.02863121,0.38465887,20.0
21,-0.25608855,-0.3227632,0.63095057,21.0
22,2.2689111,-1.5377386,0.4284831,22.0
23,4.7939267,-2.751923,0.22602826,23.0
24,7.318878,-3.966424,0.023560781,24.0
25,9.843894,-5.1809244,-0.17890039,25.0
26,12.36891,-6.395267,-0.38138047,26.0
27,14.893909,-7.609926,-0.58384794,27.0
28,17.41891,-8.82411,-0.78634065,28.0
29,19.943892,-10.039086,-0.98877347,29.0
30,22.468908,-11.253428,-1.1912535,30.0
31,24.993908,-12.468087,-1.3937242,31.0
32,27.518923,-13.682272,-1.596198,32.0
33,30.04394,-14.897089,-1.7986434,33.0
34,32.56894,-16.111431,-2.0011108,34.0
35,37.974514,-19.251476,0.19337699,35.0
36,43.794113,-21.599785,2.5007527,36.0
37,49.8743,-25.124147,5.2004294,37.0
38,58.119064,-29.26383,9.352248,38.0
39,66.488495,-33.204628,13.555584,39.0
40,74.85815,-37.1459,17.759062,40.0
41,83.227486,-41.086857,21.962309,41.0
42,91.59696,-45.027657,26.165663,42.0
43,99.96034,-48.96007,30.365774,43.0
44,105.60166,-51.670547,33.42964,44.0
45,111.23954,-54.38767,36.493114,45.0
46,116.877335,-57.105423,39.55657,46.0
47,122.515114,-59.822544,42.61993,47.0
48,128.15294,-62.5403,45.68343,48.0
49,133.79073,-65.257576,48.74684,49.0
50,139.42856,-67.97501,51.81027,50.0
51,145.0665,-70.69229,54.873768,51.0
52,150.70433,-73.40989,57.937206,52.0
53,156.3421,-76.12733,61.000637,53.0
54,161.9799,-78.844444,64.06404,54.0
55,167.61775,-81.56204,67.127525,55.0
56,173.25557,-84.27932,70.190956,56.0
57,178.89345,-86.99692,73.254425,57.0
58,184.53116,-89.714195,76.31781,58.0
59,190.16902,-92.43211,79.381294,59.0
60,195.80685,-95.14907,82.44471,60.0
61,201.44467,-97.86683,85.5082,61.0
62,208.12625,-101.10433,86.863495,62.0
63,215.89305,-104.8828,86.442184,63.0
64,223.66,-108.66222,86.0209,64.0
65,231.42694,-112.44036,85.59959,65.0
66,239.19406,-116.2193,85.1782,66.0
67,246.9608,-119.99856,84.757,67.0
68,255.51033,-125.45748,84.39942,68.0
69,269.01364,-132.06033,83.45648,69.0
70,282.71237,-137.87178,82.49777,70.0
71,296.41016,-143.68196,81.53927,71.0
72,297.45166,-142.08092,89.18333,72.0
73,290.06232,-138.35736,105.1699,73.0
74,282.67285,-134.63396,121.156784,74.0
75,275.2828,-130.91023,137.14417,75.0
76,267.89392,-127.1873,153.13042,76.0
77,260.50363,-123.463745,169.11815,77.0
78,253.11334,-119.74034,185.10596,78.0
79,245.72441,-116.016304,201.09196,79.0
80,239.12965,-113.96877,216.02261,80.0
81,237.16554,-113.07166,224.5967,81.0
82,235.20137,-112.17345,233.17084,82.0
83,233.23729,-111.27618,241.74493,83.0
84,231.27347,-110.3778,250.31847,84.0
85,229.30917,-109.4799,258.89276,85.0
86,227.34492,-108.58215,267.46695,86.0
87,225.38092,-107.68441,276.0409,87.0
88,223.41689,-106.78699,284.61475,88.0
89,221.45284,-105.889244,293.18857,89.0
90,219.48882,-104.99134,301.76266,90.0
91,217.52448,-104.0936,310.33685,91.0
92,215.56041,-103.19617,318.91095,92.0
93,213.59602,-102.29811,327.4853,93.0
94,210.39186,-101.043106,335.49704,94.0
95,205.2295,-98.30083,343.31326,95.0
96,200.06766,-95.557915,351.12936,96.0
97,194.90488,-92.81469,358.94583,97.0
98,189.74265,-90.07209,366.7621,98.0
99,184.57968,-87.3295,374.57874,99.0
100,179.41782,-84.58691,382.39474,100.0
101,174.2554,-81.84367,390.21097,101.0
102,170.37915,-81.07947,399.5265,102.0
103,166.8082,-79.71624,410.13422,103.0
104,162.84137,-76.63474,421.25198,104.0
105,159.0013,-73.94025,432.28018,105.0
106,156.21063,-74.35004,442.5594,106.0
107,153.50717,-72.96023,452.5979,107.0
108,151.16061,-71.86945,462.5256,108.0
109,148.81389,-70.778046,472.45322,109.0
110,146.46707,-69.68696,482.38095,110.0
111,144.12044,-68.59587,492.30878,111.0
112,141.77365,-67.50446,502.23636,112.0
113,139.42662,-66.41306,512.1645,113.0
114,137.07993,-65.323235,522.0922,114.0
115,134.73352,-64.231514,532.01935,115.0
116,132.38626,-63.140747,541.9479,116.0
117,130.03941,-62.049656,551.8757,117.0
118,127.6927,-60.958565,561.80334,118.0
